Invoice ID,Branch,City,Customer type,Gender,Product Line,Unit Price,Quantity Sold,Sales Before Tax,Tax 5%,Total Sales,Date,Time,Payment Method,Rating,Year,Month Name,Day Name
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,522.83,26.14,548.97,2019-01-05,1:08:00 PM,Ewallet,9.1,2019,January,Saturday
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,76.4,3.82,80.22,2019-03-08,10:29:00 AM,Cash,9.6,2019,March,Friday
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,324.31,16.22,340.53,2019-03-03,1:23:00 PM,Credit card,7.4,2019,March,Sunday
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,465.76,23.29,489.05,2019-01-27,8:33:00 PM,Ewallet,8.4,2019,January,Sunday
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,604.17,30.21,634.38,2019-02-08,10:37:00 AM,Ewallet,5.3,2019,February,Friday
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,597.73,29.89,627.62,2019-03-25,6:30:00 PM,Ewallet,4.1,2019,March,Monday
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,413.04,20.65,433.69,2019-02-25,2:36:00 PM,Ewallet,5.8,2019,February,Monday
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,735.6,36.78,772.38,2019-02-24,11:38:00 AM,Ewallet,8.0,2019,February,Sunday
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,72.52,3.63,76.15,2019-01-10,5:15:00 PM,Credit card,7.2,2019,January,Thursday
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,164.52,8.23,172.75,2019-02-20,1:27:00 PM,Credit card,5.9,2019,February,Wednesday
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,57.92,2.9,60.82,2019-02-06,6:07:00 PM,Ewallet,4.5,2019,February,Wednesday
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,102.04,5.1,107.14,2019-03-09,5:03:00 PM,Cash,6.8,2019,March,Saturday
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,234.75,11.74,246.49,2019-02-12,10:25:00 AM,Ewallet,7.1,2019,February,Tuesday
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,431.9,21.6,453.5,2019-02-07,4:48:00 PM,Ewallet,8.2,2019,February,Thursday
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,713.8,35.69,749.49,2019-03-29,7:21:00 PM,Cash,5.7,2019,March,Friday
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,562.32,28.12,590.44,2019-01-15,4:19:00 PM,Cash,4.5,2019,January,Tuesday
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,482.51,24.13,506.64,2019-03-11,11:03:00 AM,Credit card,4.6,2019,March,Monday
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,435.66,21.78,457.44,2019-01-01,10:39:00 AM,Credit card,6.9,2019,January,Tuesday
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,164.01,8.2,172.21,2019-01-21,6:00:00 PM,Credit card,8.6,2019,January,Monday
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,80.6,4.03,84.63,2019-03-11,3:30:00 PM,Ewallet,4.4,2019,March,Monday
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,430.2,21.51,451.71,2019-02-25,11:24:00 AM,Ewallet,4.8,2019,February,Monday
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,263.94,13.2,277.14,2019-03-05,10:40:00 AM,Ewallet,5.1,2019,March,Tuesday
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,66.4,3.32,69.72,2019-03-15,12:20:00 PM,Credit card,4.4,2019,March,Friday
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,172.8,8.64,181.44,2019-02-17,11:15:00 AM,Ewallet,9.9,2019,February,Sunday
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,265.89,13.29,279.18,2019-03-02,5:36:00 PM,Ewallet,6.0,2019,March,Saturday
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,420.72,21.04,441.76,2019-03-22,7:20:00 PM,Credit card,8.5,2019,March,Friday
